Date,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CA1,CM1,CM2,CS1,CS2,CB1,CB2,CP1
01/10/2012,0.54,0.53,0.63,0.48,0.53,0.46,0.72,0.59,0.51,,,,,,,
01/04/2013,0.68,0.67,0.54,0.51,0.52,0.64,0.73,0.52,0.46,,,,,,,
01/10/2013,0.61,0.58,0.63,0.54,0.58,0.6,0.68,0.52,0.52,,,,,,,
01/04/2014,0.69,0.56,0.59,0.56,0.52,0.6,0.66,0.57,0.43,,,,,,,
01/10/2014,0.62,0.61,0.57,0.44,0.53,0.68,0.73,0.56,0.54,,,,,,,
01/04/2015,0.68,0.63,0.66,0.54,0.6,0.46,0.7,0.62,0.47,,,,,,,
01/10/2015,0.53,0.65,0.69,0.52,0.53,0.55,0.71,0.49,0.48,,,,,,,
01/04/2016,0.67,0.62,0.67,0.45,0.5,0.53,0.69,0.61,0.42,,,,,,,
01/10/2016,0.6,0.63,0.65,0.41,0.6,0.59,0.66,0.56,0.41,,,,,,,
01/04/2017,0.63,0.58,0.6,0.45,0.51,0.5,0.69,0.61,0.42,,,,,,,
01/10/2017,0.58,0.57,0.52,0.55,0.51,0.55,0.63,0.58,0.35,,,,,,,
01/04/2018,0.61,0.55,0.62,0.42,0.51,0.59,0.74,0.32,0.43,,,,,,,
01/10/2018,0.59,0.55,0.67,0.39,0.51,0.68,0.62,0.42,0.44,,,,,,,
01/04/2019,,,,,,,,,,0.53,0.32,0.64,0.57,0.58,0.62,0.4
01/10/2019,,,,,,,,,,0.42,0.39,0.56,0.36,0.63,0.68,0.34
01/04/2020,,,,,,,,,,,,,,0.6,0.76,0.46
01/10/2020,,,,,,,,,,0.46,0.48,0.69,0.35,0.61,0.65,0.41
01/04/2021,,,,,,,,,,0.51,0.34,0.53,0.34,0.61,0.55,0.45
01/10/2021,,,,,,,,,,0.4,0.49,0.42,0.35,0.56,0.7,0.36
01/04/2022,,,,,,,,,,0.32,0.38,0.44,0.38,0.58,0.63,0.43
01/10/2022,,,,,,,,,,0.3,0.41,0.41,0.2,0.6,0.73,0.4
01/04/2023,,,,,,,,,,0.41,0.43,0.51,0.31,0.62,0.62,0.45
01/10/2023,,,,,,,,,,0.32,0.42,0.48,0.33,0.61,0.72,0.43
